"Image","Cluster"
"Dancing Peasants at a Wedding in the Open Air (France).jpg","5"
"Allegory of Air and Fire (Sarasota).jpg","6"
"The Raid (Aschaffenburg).jpg","1"
"Mountain Lake at Midnight.jpg","1"
"Feast of the Gods with Bacchus.jpg","5"
"Diana and Actaeon.jpg","5"
"Covered Wagon (Oxford).jpg","4"
"Allegory of Fire^% Venus in the Forge of Vulcan (A. Flinck, Brussels).jpg","5"
"Flower Garland Around Medallion of Madonna and Child with John the Baptist (Sotheby's, London, 2004).jpg","7"
"Wooded Landscape with Duck Hunter.jpg","3"
"Village with Canal.jpg","8"
"Holy Family with John the Baptist in a Landscape.jpg","6"
"Adoration of the Magi (Brussel, Koninklijk Mus.).jpg","6"
"View of the Right Bank of the Tiber, with S. Giovanni dei Fiorentini on the Right.jpg","4"
"Attack by Bandits on a Forest Road.jpg","1"
"Bouquet in a Glass Vase (Cologne).jpg","9"
"Allegory of Water.jpg","8"
"Mary with Christ and John in a Flower Garland.jpg","7"
"Sheet of Studies of Figures and Carts.jpg","4"
"Repairing the Wagon.jpg","4"
"Four Windmills along a Road.jpg","0"
"Wedding Dance in Open Air (Florence).jpg","5"
"Ancient Ruins at Baiae.jpg","0"
"Wedding Procession (Sotheby's, New York, 1986).jpg","6"
"Flowers in Basket and Tazza (Bergen, Billedgalleri).jpg","9"
"Landscape with Tobias and the Angel.jpg","1"
"Allegory of Fire^% Venus in the Forge of Vulcan (Sotheby's, New York).jpg","6"
"Allegory of the Four Elements (Brussels, G. Haes he Lorehen).jpg","2"
"Landscape with St. Jerome (Munich).jpg","1"
"Landscape with Tobias and the Fish (Liechtenstein).jpg","1"
"Forest Road with Travelers (Madrid).jpg","1"
"Diana and Her Nymphs After Fishing.jpg","5"
"The Ark of Noah (Baltimore).jpg","5"
"Diana and Nymphs Resting from the Hunt.jpg","5"
"Seventeen Studies of Different Dogs.jpg","2"
"Madonna and Child with Angels in a Landscape.jpg","5"
"Landscape with Hunters and Dogs.jpg","8"
"Travelers on a Hilltop Road.jpg","1"
"Allegory of Vanity^% The Feast of the Monkeys (Belgium).jpg","5"
"Wide Plain with Four Windmills.jpg","1"
"Rest on the Flight into Egypt (The Hague).jpg","1"
"Kermis of Saint George (Royal Museum of Fine Arts, Antwerp).jpg","5"
"Different Figures.jpg","4"
"A Bridal Procession (Dorotheum, Vienna, 2004).jpg","5"
"Paradise with Fall of Man (Belgium).jpg","1"
"Diana and Nymphs with Spoils of the Hunt.jpg","8"
"Various Figures, Some Dancing.jpg","4"
"Resting at the Windmill.jpg","5"
"The Garden of Eden with the Fall of Man (Budapest).jpg","2"
"Paradise Landscape with Eve's Seduction of Adam.jpg","5"
"Forest Landscape with Rest on the Flight into Egypt.jpg","8"
"Five Boats Sailing on a River.jpg","4"
"A Wedding Dance in a Landscape (London, Sotheby's, 1978).jpg","6"
"Madonna and Child in a Flower Garland (Madrid).jpg","7"
"Flower Vase with Mussels and Butterflies.jpg","9"
"Way to Market.jpg","1"
"Visit to the Farmers (Amsterdam, de Boer).jpg","6"
"Landscape with Sheperds and Cows and a Horseman.jpg","0"
"Flowers in a Marbled Vase.jpg","9"
"Woodland Road with Chapel.jpg","1"
"Large Bouquet in an Earthenware Vase (Bucharest).jpg","9"
"Village Street with Cart.jpg","4"
"Garland Around Medallion of Madonna and Child (Sotheby's, Amsterdam).jpg","7"
"Adoration of the Magi (Munich).jpg","8"
"Rocky Landscape with a Tower.jpg","0"
"Woodland Road near a Village.jpg","8"
"Flowers in a Glass Vase (Zurich).jpg","9"
"Road by Houses Built on Roman Ruins.jpg","0"
"Entry Into Noah's Ark (London, Wellington Museum).jpg","8"
"Village Canal.jpg","8"
"Pan and Syrinx (Kassel).jpg","5"
"View of the Ripa Grande, Rome.jpg","4"
"Flowers in a Decorated Ceramic Vase (Berlin).jpg","9"
"Road through a Woodland Village (London).jpg","8"
"Village Street (Darmstadt).jpg","4"
"River with Bridge and Village Street.jpg","0"
"River landscape with a ferry and windmill.jpg","0"
"Horses Drinking at the Mill.jpg","1"
"&%Pozzuolo&% from Vestigi delle antichita di Roma Tivoli Pozzuolo et altri luochi.jpg","0"
"Basket and Glass Vase of Flowers (Washington).jpg","9"
"Winter Landscape with Travellers.jpg","0"
"Mountain Landscape with Castle.jpg","1"
"The Earthly Paradise^% The Creation of Eve (Besancon).jpg","2"
"Allegory of Air and Fire (Gallerie Robert Finck, Brussels).jpg","6"
"Cliff Landscape with Sibylline Temple at Tivoli.jpg","4"
"Flowers in Painted Vase, Wreath, and Tazza (Brussels, Heuvel).jpg","9"
"Busy Road with Several Carts.jpg","0"
"Village street with two carts.jpg","0"
"Study of a Chicken and Three Sketches of His Head.jpg","6"
"Adoration of the Magi (Unknown Location 1).jpg","5"
"Wide Mountain Landscape with the Temptation of Christ.jpg","1"
"Maria with the Animals (Rome).jpg","5"
"The Blue Coat (Pommersfelden).jpg","3"
"The Drunkard pushed into the Pigsty (London, Christie's, 2002).jpg","3"
"River Scene.jpg","6"
"Landscape.jpg","2"
"Cattle Market in a Village.jpg","1"
"The city on the river (Harbor Scene).jpg","0"
"Wide Landscape with Wagon and Travelers (Cologne).jpg","1"
"The Miraculous Feeding.jpg","4"
"Forest Landscape with Angler.jpg","3"
"Allegory of Fire^% Venus in the Forge of Vulcan (London, Sotheby's, 1983).jpg","6"
"Sacrifice of Isaac (Abraham's Journey) (Mainz).jpg","8"
"River Estuary.jpg","0"
"Village Street with Drinking Horse.jpg","5"
"The Calling of Peter and Paul (Dresden).jpg","1"
"A Village in the Mountains.jpg","0"
"The Allegory of Air (from series of the four elements) (Burghley House).jpg","2"
"The Fleeing Horse.jpg","3"
"To Fill up the Well after the Calf has drowned (Pommersfelden).jpg","3"
"Icon of the Madonna and Child Suspended Within a Fruit and Flower Garland.jpg","7"
"Forest Landscape with Hermit.jpg","3"
"Forest Road with Travelers (France).jpg","1"
"The Last Judgment.jpg","4"
"John the Baptist in the Wilderness (London).jpg","1"
"Triumph of Bacchus.jpg","5"
"Allegory of Autumn.jpg","1"
"Mountain Landscape with River Valley.jpg","1"
"Rome^% Trajan's Forum and Column, with S. Maria di Loreto viewed from the East.jpg","0"
"Village Street with Dancing Peasants.jpg","5"
"Calvary (Florence).jpg","5"
"Carrying of the Cross.jpg","3"
"Hilly Landscape.jpg","0"
"Forest Landscape with Deer Hunting (Rome).jpg","8"
"Sheet of two roundels &%The drunkard pushed into the pigsty, the woodcutters&%.jpg","3"
"Rest on the Flight into Egypt.jpg","0"
"Harbor with Tower.jpg","0"
"Study of Parrots.jpg","4"
"The Harvest^% Allegory of Summer.jpg","3"
"Aeneas and Sibyl in the Underworld (Vienna).jpg","2"
"Allegory of Air and Fire (Monaco).jpg","6"
"Infanta Isabella and her Ladies Making Hay near Mariemont.jpg","1"
"Peasant Dance, Wedding (Dunkirk).jpg","6"
"Rest on the Flight into Egypt (Private Collection).jpg","2"
"A River Landscape.jpg","0"
"Allegory of Autumn (Neuburg an der Donau).jpg","5"
"Winter Landscape .jpg","5"
"Dancing Peasants at a Wedding Feast in the Open Air (Berlin).jpg","6"
"View of Waterfalls in Tivoli.jpg","0"
"Allegory of Fire^% Venus in the Forge of Vulcan (unknown location).jpg","6"
